order_id,order_date,region,city,channel,customer_segment,category,product,quantity,unit_price_usd,gross_revenue_usd,discount_rate,discount_amount_usd,net_revenue_usd,cogs_usd,shipping_fulfillment_usd,payment_fee_usd,returned_flag,return_amount_usd,gross_profit_usd,net_profit_usd,month
ADH-100026,2025-01-02,South,Benin,Online,Retail,Health & Beauty,Face Wash,1,55.12,55.12,0.0,0.0,55.12,42.27,6.17,0.99,0,0.0,12.85,5.69,2025-01
ADH-100027,2025-01-02,North,Abuja,POS,Retail,Groceries,Cooking Oil,3,47.99,143.97,0.0,0.0,143.97,134.75,0.0,1.73,0,0.0,9.22,7.49,2025-01
ADH-100028,2025-01-02,East,Aba,POS,Retail,Home & Kitchen,Bedsheet,1,121.98,121.98,0.0,0.0,121.98,73.95,0.0,1.46,0,0.0,48.03,46.57,2025-01
ADH-100029,2025-01-02,West,Ibadan,Online,Retail,Electronics,Phone Accessory,1,35.25,35.25,0.0,0.0,35.25,23.65,3.99,0.63,0,0.0,11.6,6.98,2025-01
ADH-100030,2025-01-02,South,Warri,Online,Retail,Electronics,Earbuds,1,63.04,63.04,0.0,0.0,63.04,43.98,5.09,1.13,0,0.0,19.06,12.84,2025-01
ADH-100031,2025-01-03,East,Owerri,Online,Retail,Groceries,Detergent,1,7.74,7.74,0.0,0.0,7.74,7.01,6.0,0.14,0,0.0,0.73,-5.41,2025-01
ADH-100032,2025-01-03,East,Enugu,Wholesale,Retail,Groceries,Detergent,5,6.4,32.0,0.0,0.0,32.0,28.69,0.16,0.26,0,0.0,3.31,2.89,2025-01
ADH-100033,2025-01-03,South,Benin,POS,Retail,Electronics,Phone Accessory,1,20.37,20.37,0.0,0.0,20.37,14.89,0.0,0.24,0,0.0,5.48,5.24,2025-01
ADH-100034,2025-01-03,East,Owerri,Online,Retail,Electronics,Earbuds,2,61.56,123.12,0.0,0.0,123.12,98.14,7.3,2.22,0,0.0,24.98,15.46,2025-01
ADH-100035,2025-01-03,West,Lagos,Online,Retail,Home & Kitchen,Extension Cable,3,45.34,136.02,0.0,0.0,136.02,115.26,3.84,2.45,1,130.03,20.76,-115.56,2025-01
ADH-100036,2025-01-03,West,Ilorin,Online,Corporate,Fashion,Sneakers,1,71.72,71.72,0.0,0.0,71.72,39.79,7.4,1.29,0,0.0,31.93,23.24,2025-01
ADH-100037,2025-01-03,South,Benin,POS,SME,Health & Beauty,Toiletries Set,1,27.24,27.24,0.0,0.0,27.24,20.97,0.0,0.33,0,0.0,6.27,5.94,2025-01
ADH-100038,2025-01-03,East,Aba,Online,Retail,Groceries,Rice 5kg,3,7.49,22.47,0.0,0.0,22.47,19.31,5.97,0.4,0,0.0,3.16,-3.21,2025-01
ADH-100039,2025-01-03,East,Onitsha,POS,SME,Electronics,Smartwatch,1,60.65,60.65,0.0,0.0,60.65,47.86,0.0,0.73,0,0.0,12.79,12.06,2025-01
ADH-100040,2025-01-03,South,Benin,POS,Retail,Health & Beauty,Perfume,1,46.05,46.05,0.0,0.0,46.05,33.19,0.0,0.55,0,0.0,12.86,12.31,2025-01
ADH-100041,2025-01-03,East,Owerri,POS,Corporate,Groceries,Beverage Pack,3,13.85,41.55,0.0,0.0,41.55,38.1,0.0,0.5,0,0.0,3.45,2.95,2025-01
ADH-100042,2025-01-03,North,Abuja,POS,Retail,Fashion,Handbag,1,40.27,40.27,0.0,0.0,40.27,29.25,0.0,0.48,0,0.0,11.02,10.54,2025-01
ADH-100043,2025-01-03,South,Warri,Online,Retail,Health & Beauty,Body Lotion,2,67.45,134.9,0.0,0.0,134.9,104.32,4.09,2.43,0,0.0,30.58,24.06,2025-01
ADH-100044,2025-01-03,West,Lagos,Online,Retail,Home & Kitchen,Cookware Set,1,81.25,81.25,0.0,0.0,81.25,50.32,4.67,1.46,0,0.0,30.93,24.8,2025-01
ADH-100045,2025-01-03,North,Jos,Online,Corporate,Fashion,Jeans,2,57.65,115.3,0.08,9.22,106.08,81.04,3.93,1.91,0,0.0,25.04,19.2,2025-01
ADH-100046,2025-01-03,East,Aba,Wholesale,Retail,Electronics,Earbuds,12,84.96,1019.52,0.0,0.0,1019.52,810.54,2.43,8.16,0,0.0,208.98,198.39,2025-01
ADH-100047,2025-01-03,East,Enugu,Online,Retail,Electronics,Bluetooth Speaker,3,61.31,183.93,0.0,0.0,183.93,132.26,6.92,3.31,0,0.0,51.67,41.44,2025-01
ADH-100048,2025-01-03,West,Ibadan,Wholesale,Corporate,Groceries,Cooking Oil,15,46.12,691.8,0.0,0.0,691.8,597.45,1.9,5.53,0,0.0,94.35,86.92,2025-01
ADH-100049,2025-01-03,North,Kano,POS,Retail,Groceries,Cooking Oil,1,21.08,21.08,0.0,0.0,21.08,19.19,0.0,0.25,0,0.0,1.89,1.64,2025-01
ADH-100050,2025-01-03,West,Abeokuta,Online,Retail,Groceries,Cooking Oil,2,10.5,21.0,0.0,0.0,21.0,17.48,3.62,0.38,0,0.0,3.52,-0.48,2025-01
ADH-100051,2025-01-03,South,Port Harcourt,POS,SME,Fashion,Cap,2,75.35,150.7,0.0,0.0,150.7,92.88,0.0,1.81,0,0.0,57.82,56.01,2025-01
ADH-100052,2025-01-04,South,Warri,POS,Corporate,Groceries,Cooking Oil,1,46.54,46.54,0.0,0.0,46.54,40.5,0.0,0.56,0,0.0,6.04,5.48,2025-01
ADH-100053,2025-01-04,North,Abuja,POS,Retail,Fashion,Jeans,1,51.06,51.06,0.0,0.0,51.06,31.48,0.0,0.61,0,0.0,19.58,18.97,2025-01
ADH-100054,2025-01-04,West,Lagos,POS,Retail,Groceries,Noodles Pack,1,47.5,47.5,0.0,0.0,47.5,42.25,0.0,0.57,0,0.0,5.25,4.68,2025-01
ADH-100055,2025-01-04,North,Abuja,Online,Retail,Groceries,Noodles Pack,3,46.94,140.82,0.0,0.0,140.82,130.69,3.9,2.53,0,0.0,10.13,3.7,2025-01
ADH-100056,2025-01-04,North,Kaduna,Online,SME,Groceries,Cooking Oil,1,42.95,42.95,0.063,2.71,40.24,35.62,3.76,0.72,0,0.0,4.62,0.14,2025-01
ADH-100057,2025-01-04,South,Warri,Online,Retail,Groceries,Rice 5kg,3,33.53,100.59,0.092,9.25,91.34,79.3,6.66,1.64,0,0.0,12.04,3.74,2025-01
ADH-100058,2025-01-04,East,Aba,POS,Retail,Groceries,Cooking Oil,4,11.67,46.68,0.024,1.12,45.56,38.82,0.0,0.55,0,0.0,6.74,6.19,2025-01
ADH-100059,2025-01-04,East,Aba,POS,SME,Groceries,Noodles Pack,1,23.71,23.71,0.0,0.0,23.71,19.79,0.0,0.28,0,0.0,3.92,3.64,2025-01
ADH-100060,2025-01-04,East,Enugu,POS,SME,Groceries,Beverage Pack,1,49.56,49.56,0.0,0.0,49.56,42.76,0.0,0.59,0,0.0,6.8,6.21,2025-01
ADH-100061,2025-01-04,East,Enugu,POS,Retail,Health & Beauty,Perfume,1,11.35,11.35,0.04,0.45,10.9,6.08,0.0,0.13,0,0.0,4.82,4.69,2025-01
ADH-100062,2025-01-04,West,Ibadan,POS,Corporate,Groceries,Beverage Pack,2,13.84,27.68,0.0,0.0,27.68,25.03,0.0,0.33,0,0.0,2.65,2.32,2025-01
ADH-100063,2025-01-04,West,Ibadan,Online,Retail,Home & Kitchen,Extension Cable,2,34.77,69.54,0.0,0.0,69.54,45.59,4.72,1.25,0,0.0,23.95,17.98,2025-01
ADH-100064,2025-01-04,West,Ilorin,Online,Retail,Groceries,Cooking Oil,1,41.84,41.84,0.0,0.0,41.84,36.7,5.56,0.75,0,0.0,5.14,-1.17,2025-01
ADH-100065,2025-01-04,South,Uyo,POS,Retail,Health & Beauty,Toiletries Set,1,17.89,17.89,0.0,0.0,17.89,13.59,0.0,0.21,0,0.0,4.3,4.09,2025-01
ADH-100066,2025-01-04,East,Enugu,POS,Retail,Fashion,Jeans,1,13.76,13.76,0.0,0.0,13.76,7.34,0.0,0.17,0,0.0,6.42,6.25,2025-01
ADH-100067,2025-01-04,East,Enugu,Online,Retail,Health & Beauty,Body Lotion,1,44.11,44.11,0.0,0.0,44.11,33.98,6.76,0.79,0,0.0,10.13,2.58,2025-01
ADH-100068,2025-01-05,North,Kano,Online,Retail,Electronics,Bluetooth Speaker,3,22.87,68.61,0.0,0.0,68.61,51.72,4.56,1.23,0,0.0,16.89,11.1,2025-01
ADH-100069,2025-01-05,West,Abeokuta,Online,SME,Health & Beauty,Hair Care,2,67.09,134.18,0.0,0.0,134.18,86.9,7.85,2.42,0,0.0,47.28,37.01,2025-01
ADH-100070,2025-01-05,East,Enugu,POS,Retail,Fashion,Jeans,2,67.41,134.82,0.0,0.0,134.82,101.73,0.0,1.62,0,0.0,33.09,31.47,2025-01
ADH-100071,2025-01-05,North,Abuja,POS,Retail,Health & Beauty,Hair Care,1,42.47,42.47,0.0,0.0,42.47,28.61,0.0,0.51,0,0.0,13.86,13.35,2025-01
ADH-100072,2025-01-05,East,Enugu,Wholesale,SME,Groceries,Cooking Oil,12,17.65,211.8,0.0,0.0,211.8,182.2,0.94,1.69,0,0.0,29.6,26.97,2025-01
ADH-100073,2025-01-05,South,Warri,Online,Retail,Groceries,Noodles Pack,3,15.59,46.77,0.0,0.0,46.77,41.29,5.01,0.84,0,0.0,5.48,-0.37,2025-01
ADH-100074,2025-01-05,East,Enugu,Wholesale,Retail,Groceries,Beverage Pack,8,51.82,414.56,0.0,0.0,414.56,373.96,2.23,3.32,0,0.0,40.6,35.05,2025-01
ADH-100075,2025-01-05,West,Abeokuta,Wholesale,SME,Health & Beauty,Toiletries Set,10,9.85,98.5,0.0,0.0,98.5,59.27,0.13,0.79,0,0.0,39.23,38.31,2025-01
ADH-100076,2025-01-05,North,Kaduna,Online,Retail,Groceries,Cooking Oil,3,6.43,19.29,0.0,0.0,19.29,16.57,4.86,0.35,0,0.0,2.72,-2.49,2025-01
ADH-100077,2025-01-05,South,Port Harcourt,POS,SME,Health & Beauty,Face Wash,1,54.99,54.99,0.0,0.0,54.99,33.81,0.0,0.66,0,0.0,21.18,20.52,2025-01
ADH-100078,2025-01-05,West,Lagos,Wholesale,Retail,Fashion,Sneakers,5,77.1,385.5,0.0,0.0,385.5,209.09,0.39,3.08,0,0.0,176.41,172.94,2025-01
ADH-100079,2025-01-05,North,Jos,Online,Corporate,Electronics,Phone Accessory,1,46.92,46.92,0.0,0.0,46.92,32.57,4.32,0.84,0,0.0,14.35,9.19,2025-01
ADH-100080,2025-01-05,North,Jos,POS,Retail,Fashion,Handbag,1,73.43,73.43,0.0,0.0,73.43,43.25,0.0,0.88,0,0.0,30.18,29.3,2025-01
ADH-100081,2025-01-05,East,Enugu,Online,Corporate,Groceries,Cooking Oil,1,46.81,46.81,0.0,0.0,46.81,42.67,5.48,0.84,0,0.0,4.14,-2.18,2025-01
ADH-100082,2025-01-05,South,Uyo,Online,Retail,Electronics,Smartwatch,2,100.41,200.82,0.0,0.0,200.82,140.81,8.53,3.61,0,0.0,60.01,47.87,2025-01
ADH-100083,2025-01-05,East,Enugu,POS,Retail,Groceries,Detergent,1,17.55,17.55,0.0,0.0,17.55,16.19,0.0,0.21,0,0.0,1.36,1.15,2025-01
ADH-100084,2025-01-05,North,Kano,POS,Retail,Fashion,Jeans,1,41.96,41.96,0.0,0.0,41.96,28.84,0.0,0.5,0,0.0,13.12,12.62,2025-01
ADH-100085,2025-01-05,East,Enugu,Online,Retail,Groceries,Beverage Pack,2,19.45,38.9,0.0,0.0,38.9,36.55,3.82,0.7,0,0.0,2.35,-2.17,2025-01
ADH-100086,2025-01-05,West,Ibadan,Online,SME,Health & Beauty,Hair Care,2,20.07,40.14,0.0,0.0,40.14,25.71,5.17,0.72,0,0.0,14.43,8.54,2025-01
ADH-100087,2025-01-06,West,Ilorin,Wholesale,Corporate,Fashion,Handbag,15,37.4,561.0,0.0,0.0,561.0,333.68,2.1,4.49,0,0.0,227.32,220.73,2025-01
ADH-100088,2025-01-06,East,Enugu,Online,Retail,Health & Beauty,Body Lotion,1,79.26,79.26,0.0,0.0,79.26,51.01,9.91,1.43,0,0.0,28.25,16.91,2025-01
ADH-100089,2025-01-06,South,Port Harcourt,POS,Retail,Home & Kitchen,Kettle,2,49.92,99.84,0.0,0.0,99.84,61.72,0.0,1.2,0,0.0,38.12,36.92,2025-01
ADH-100090,2025-01-06,West,Abeokuta,Wholesale,SME,Fashion,Handbag,10,29.33,293.3,0.0,0.0,293.3,195.43,2.24,2.35,0,0.0,97.87,93.28,2025-01
ADH-100091,2025-01-06,West,Lagos,Online,Retail,Fashion,Handbag,2,48.76,97.52,0.0,0.0,97.52,67.15,5.51,1.76,0,0.0,30.37,23.1,2025-01
ADH-100092,2025-01-06,West,Lagos,POS,Corporate,Groceries,Noodles Pack,4,11.5,46.0,0.0,0.0,46.0,38.33,0.0,0.55,0,0.0,7.67,7.12,2025-01
ADH-100093,2025-01-06,East,Aba,POS,Retail,Electronics,Phone Accessory,2,40.89,81.78,0.0,0.0,81.78,62.2,0.0,0.98,0,0.0,19.58,18.6,2025-01
ADH-100094,2025-01-06,West,Ibadan,Online,SME,Groceries,Noodles Pack,2,45.32,90.64,0.0,0.0,90.64,74.86,5.42,1.63,0,0.0,15.78,8.73,2025-01
ADH-100095,2025-01-06,North,Kaduna,Online,SME,Home & Kitchen,Cookware Set,2,26.85,53.7,0.0,0.0,53.7,36.97,4.03,0.97,0,0.0,16.73,11.73,2025-01
ADH-100096,2025-01-06,North,Abuja,Online,Corporate,Groceries,Cooking Oil,3,52.24,156.72,0.0,0.0,156.72,129.97,5.18,2.82,0,0.0,26.75,18.75,2025-01
ADH-100097,2025-01-06,North,Abuja,Wholesale,Retail,Groceries,Cooking Oil,10,52.81,528.1,0.0,0.0,528.1,458.07,0.88,4.22,0,0.0,70.03,64.93,2025-01
ADH-100098,2025-01-06,West,Ibadan,Wholesale,Retail,Electronics,Bluetooth Speaker,10,110.3,1103.0,0.0,0.0,1103.0,750.26,0.34,8.82,0,0.0,352.74,343.58,2025-01
ADH-100099,2025-01-06,West,Ibadan,Online,SME,Health & Beauty,Body Lotion,1,34.15,34.15,0.0,0.0,34.15,25.47,6.18,0.61,0,0.0,8.68,1.89,2025-01
ADH-100100,2025-01-06,North,Kaduna,Online,Corporate,Home & Kitchen,Blender,1,91.34,91.34,0.0,0.0,91.34,56.26,4.94,1.64,0,0.0,35.08,28.5,2025-01
ADH-100101,2025-01-07,North,Kano,Online,Retail,Electronics,Earbuds,1,38.81,38.81,0.0,0.0,38.81,26.14,4.06,0.7,0,0.0,12.67,7.91,2025-01
ADH-100102,2025-01-07,East,Aba,Online,SME,Home & Kitchen,Bedsheet,1,108.66,108.66,0.062,6.74,101.92,73.22,5.2,1.83,0,0.0,28.7,21.67,2025-01
ADH-100103,2025-01-07,East,Onitsha,POS,Retail,Groceries,Beverage Pack,3,46.56,139.68,0.03,4.19,135.49,119.16,0.0,1.63,0,0.0,16.33,14.7,2025-01
ADH-100104,2025-01-07,South,Benin,POS,SME,Electronics,Earbuds,1,27.07,27.07,0.0,0.0,27.07,20.38,0.0,0.32,0,0.0,6.69,6.37,2025-01
ADH-100105,2025-01-07,West,Abeokuta,Online,Retail,Fashion,Jeans,1,28.72,28.72,0.0,0.0,28.72,16.44,3.64,0.52,0,0.0,12.28,8.12,2025-01
ADH-100106,2025-01-07,West,Abeokuta,POS,SME,Health & Beauty,Toiletries Set,2,12.79,25.58,0.033,0.84,24.74,19.66,0.0,0.3,0,0.0,5.08,4.78,2025-01
ADH-100107,2025-01-07,West,Lagos,POS,Retail,Home & Kitchen,Bedsheet,1,25.97,25.97,0.0,0.0,25.97,15.84,0.0,0.31,0,0.0,10.13,9.82,2025-01
ADH-100108,2025-01-07,South,Warri,Wholesale,SME,Electronics,Phone Accessory,15,38.83,582.45,0.0,0.0,582.45,452.48,2.4,4.66,0,0.0,129.97,122.91,2025-01
ADH-100109,2025-01-07,North,Kaduna,POS,Retail,Groceries,Noodles Pack,2,24.06,48.12,0.0,0.0,48.12,42.54,0.0,0.58,0,0.0,5.58,5.0,2025-01
ADH-100110,2025-01-07,West,Ibadan,Online,Retail,Groceries,Rice 5kg,1,34.6,34.6,0.0,0.0,34.6,29.51,8.35,0.62,0,0.0,5.09,-3.88,2025-01
ADH-100111,2025-01-07,East,Aba,Wholesale,Corporate,Groceries,Rice 5kg,10,54.49,544.9,0.0,0.0,544.9,502.46,1.24,4.36,0,0.0,42.44,36.84,2025-01
ADH-100112,2025-01-07,South,Uyo,Wholesale,Corporate,Electronics,Power Bank,10,52.43,524.3,0.0,0.0,524.3,343.95,1.21,4.19,0,0.0,180.35,174.95,2025-01
ADH-100113,2025-01-07,East,Enugu,POS,Retail,Groceries,Noodles Pack,2,50.23,100.46,0.0,0.0,100.46,94.24,0.0,1.21,0,0.0,6.22,5.01,2025-01
ADH-100114,2025-01-07,North,Kaduna,Online,Retail,Groceries,Noodles Pack,3,12.32,36.96,0.0,0.0,36.96,33.06,5.6,0.67,0,0.0,3.9,-2.37,2025-01
ADH-100115,2025-01-07,North,Abuja,Online,Corporate,Groceries,Cooking Oil,2,7.93,15.86,0.0,0.0,15.86,14.3,6.19,0.29,0,0.0,1.56,-4.92,2025-01
ADH-100116,2025-01-07,South,Port Harcourt,Online,Retail,Home & Kitchen,Bedsheet,1,140.8,140.8,0.0,0.0,140.8,89.28,5.31,2.53,0,0.0,51.52,43.68,2025-01
ADH-100117,2025-01-08,North,Kaduna,Online,Retail,Health & Beauty,Face Wash,1,7.71,7.71,0.0,0.0,7.71,4.28,5.56,0.14,0,0.0,3.43,-2.27,2025-01
ADH-100118,2025-01-08,East,Aba,POS,SME,Fashion,T-Shirt,2,84.12,168.24,0.0,0.0,168.24,110.78,0.0,2.02,0,0.0,57.46,55.44,2025-01
ADH-100119,2025-01-08,North,Kaduna,Online,Retail,Electronics,Smartwatch,1,41.11,41.11,0.039,1.6,39.51,28.89,6.36,0.71,0,0.0,10.62,3.55,2025-01
ADH-100120,2025-01-08,West,Abeokuta,Online,Retail,Fashion,T-Shirt,1,39.47,39.47,0.0,0.0,39.47,23.09,6.76,0.71,0,0.0,16.38,8.91,2025-01
ADH-100121,2025-01-08,South,Port Harcourt,Online,SME,Fashion,Sneakers,2,81.4,162.8,0.0,0.0,162.8,123.86,4.92,2.93,0,0.0,38.94,31.09,2025-01
ADH-100122,2025-01-08,East,Aba,POS,Retail,Groceries,Noodles Pack,3,50.44,151.32,0.0,0.0,151.32,140.82,0.0,1.82,0,0.0,10.5,8.68,2025-01
ADH-100123,2025-01-08,West,Abeokuta,POS,SME,Groceries,Rice 5kg,3,6.76,20.28,0.0,0.0,20.28,18.73,0.0,0.24,0,0.0,1.55,1.31,2025-01
ADH-100124,2025-01-08,North,Kaduna,Online,Retail,Health & Beauty,Hair Care,1,28.46,28.46,0.0,0.0,28.46,20.01,5.3,0.51,0,0.0,8.45,2.64,2025-01
ADH-100125,2025-01-08,West,Ilorin,POS,Retail,Home & Kitchen,Kettle,1,12.88,12.88,0.022,0.28,12.6,9.35,0.0,0.15,0,0.0,3.25,3.1,2025-01
ADH-100126,2025-01-08,East,Aba,Online,SME,Groceries,Detergent,2,18.25,36.5,0.0,0.0,36.5,32.65,7.12,0.66,0,0.0,3.85,-3.93,2025-01
ADH-100127,2025-01-08,East,Owerri,Wholesale,Retail,Groceries,Cooking Oil,12,25.24,302.88,0.0,0.0,302.88,278.84,1.24,2.42,0,0.0,24.04,20.38,2025-01
ADH-100128,2025-01-09,West,Ilorin,Online,Retail,Fashion,T-Shirt,1,72.46,72.46,0.0,0.0,72.46,51.26,5.34,1.3,0,0.0,21.2,14.56,2025-01
ADH-100129,2025-01-09,East,Owerri,POS,Retail,Groceries,Beverage Pack,2,41.94,83.88,0.0,0.0,83.88,69.98,0.0,1.01,0,0.0,13.9,12.89,2025-01
ADH-100130,2025-01-09,East,Enugu,Online,Retail,Groceries,Rice 5kg,1,44.7,44.7,0.0,0.0,44.7,37.41,6.43,0.8,0,0.0,7.29,0.06,2025-01
ADH-100131,2025-01-09,East,Enugu,Wholesale,SME,Fashion,Jeans,10,59.57,595.7,0.0,0.0,595.7,426.62,2.18,4.77,0,0.0,169.08,162.13,2025-01
ADH-100132,2025-01-09,South,Warri,POS,Retail,Groceries,Beverage Pack,2,47.98,95.96,0.0,0.0,95.96,85.02,0.0,1.15,0,0.0,10.94,9.79,2025-01
ADH-100133,2025-01-09,South,Uyo,Online,Retail,Health & Beauty,Hair Care,1,21.18,21.18,0.0,0.0,21.18,15.28,5.34,0.38,0,0.0,5.9,0.18,2025-01
ADH-100134,2025-01-09,South,Benin,POS,Retail,Electronics,Smartwatch,1,66.67,66.67,0.0,0.0,66.67,48.83,0.0,0.8,0,0.0,17.84,17.04,2025-01
ADH-100135,2025-01-09,South,Port Harcourt,Online,Retail,Health & Beauty,Toiletries Set,2,18.97,37.94,0.0,0.0,37.94,30.21,4.58,0.68,0,0.0,7.73,2.47,2025-01
ADH-100136,2025-01-09,West,Ilorin,POS,SME,Electronics,Earbuds,1,47.8,47.8,0.0,0.0,47.8,32.92,0.0,0.57,0,0.0,14.88,14.31,2025-01
ADH-100137,2025-01-09,West,Ibadan,Online,SME,Groceries,Cooking Oil,2,10.11,20.22,0.0,0.0,20.22,17.68,5.65,0.36,0,0.0,2.54,-3.47,2025-01
ADH-100138,2025-01-09,East,Enugu,POS,Retail,Groceries,Noodles Pack,4,36.96,147.84,0.0,0.0,147.84,137.73,0.0,1.77,0,0.0,10.11,8.34,2025-01
ADH-100139,2025-01-09,North,Jos,Online,Retail,Health & Beauty,Perfume,2,25.61,51.22,0.0,0.0,51.22,30.32,5.15,0.92,0,0.0,20.9,14.83,2025-01
ADH-100140,2025-01-09,East,Onitsha,Online,Retail,Groceries,Noodles Pack,1,39.15,39.15,0.0,0.0,39.15,36.07,8.42,0.7,0,0.0,3.08,-6.04,2025-01
ADH-100141,2025-01-10,East,Onitsha,Online,Retail,Fashion,Jeans,1,30.82,30.82,0.0,0.0,30.82,20.92,7.5,0.55,0,0.0,9.9,1.85,2025-01
ADH-100142,2025-01-10,West,Abeokuta,Wholesale,SME,Groceries,Noodles Pack,12,9.09,109.08,0.0,0.0,109.08,101.78,2.33,0.87,0,0.0,7.3,4.1,2025-01
ADH-100143,2025-01-10,North,Kaduna,Online,SME,Groceries,Cooking Oil,3,18.43,55.29,0.0,0.0,55.29,49.71,6.21,1.0,0,0.0,5.58,-1.63,2025-01
ADH-100144,2025-01-10,North,Kano,Online,Corporate,Health & Beauty,Toiletries Set,1,69.46,69.46,0.0,0.0,69.46,55.56,7.82,1.25,0,0.0,13.9,4.83,2025-01
ADH-100145,2025-01-10,East,Owerri,Online,SME,Groceries,Noodles Pack,2,14.92,29.84,0.0,0.0,29.84,25.18,5.27,0.54,0,0.0,4.66,-1.15,2025-01
